ID,Domain,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Created At,Question Type
85,Using Operators and Decision Constructs,Operators,"What is the value of result? 
```java
int x = 5; 
int y = ++x; 
int z = y--; 
int result = x + y + z;
```",15,16,17,18,Compilation error,C,"x starts at 5. y = ++x makes x = 6, y = 6. z = y-- makes z = 6, y = 5. result = 6 + 5 + 6 = 17.",2025-06-20 19:32:28
86,Using Loop Constructs,Looping Constructs,"What will this code print? 
```java
void crazyLoop() { 
  int c = 0; 
  JACK: while (c < 8) { 
    JILL: System.out.println(c); 
    if (c > 3) break JACK; 
    else c++; 
  } 
}
```",It will not compile.,It will throw an exception at runtime.,It will print numbers from 0 to 8,It will print numbers from 0 to 3,It will print numbers from 0 to 4,E,"The loop prints c (0,1,2,3,4) and breaks when c > 3, which happens after printing 4.",2025-06-20 19:32:28
87,Working with Methods and Encapsulation,Static vs Instance Methods,"What is the output of this code? 
```java
public class StaticTest { 
  static int x = 10; 
  static { x += 5; } 
  public static void main(String args) { 
    System.out.println(x); 
  } 
  static { x += 10; } 
}
```",10,15,25,Compilation error,Runtime error,C,"Static initializers execute in order when the class is loaded. x starts at 10, first static block adds 5 (x=15), second static block adds 10 (x=25).",2025-06-20 19:32:28
88,Java Basics,Variable Declaration and Initialization,"What is the output of this code? 
```java
public class ScopeTest { 
  public static void main(String args) { 
    int x = 10; 
    { 
      int y = 20; 
      System.out.println(x + y); 
    } 
    System.out.println(x); 
  } 
}
```",30 10,30 20,Compilation error,Runtime error,30,A,"Variables declared within a block are only accessible within that block. x is accessible throughout main, y is only accessible in the inner block.
Output: 30 (x+y), then 10 (x).",2025-06-20 19:32:28
89,Using Operators and Decision Constructs,Bitwise Operators,"What is the output of this code? 
```java
int a = 5; 
int b = 3; 
System.out.println(a | b);
```",1,3,5,7,Compilation error,D,Bitwise OR operation: 5 (0101) | 3 (0011) = 7 (0111).,2025-06-20 19:32:28
90,Handling Exceptions,Exception Handling,"Which is the correct order for catch blocks if both Exception and IOException might be thrown?",catch (Exception e) {} catch (IOException e) {},catch (IOException e) {} catch (Exception e) {},The order does not matter.,It will not compile with both catch blocks.,None of the above.,B,"More specific exceptions must be caught before more general ones.",,single
`IOException` is more specific than Exception, so it must come first.",2025-06-20 19:32:28
91,Java Basics,Main Characteristics of Java,"Which of the following is NOT a core feature of Java?",Platform Independence,Object Orientation,Pointers,Automatic Memory Management,Multi-threading,C,"Java is designed without explicit pointers for security and simplified memory management.",,single
The other options are all core features of Java.",2025-06-20 19:32:28
92,Creating and Using Arrays,Arrays,"What is the output of this code?
```java
String[] names = new String[3]; 
System.out.println(names[0]);
```",null,empty string,Compilation error,Runtime error,undefined,A,"When an array of objects is created, elements are initialized to null. names[0] is null.",2025-06-20 19:32:28
93,Using Loop Constructs,While Loops,"What will this code print? 
```java
int i = 0; 
while (i < 5) { 
System.out.print(i); 
}
```",01234,000... (infinite loop),Compilation error,Runtime error,None of the above.,B,"i is never incremented, so the condition i < 5 remains true forever, printing 0 infinitely.",2025-06-20 19:32:28
94,Working with Selected classes from the Java API,Generics,"Which ArrayList declaration will cause a compile-time error?",ArrayList list = new ArrayList();,ArrayList<String> list = new ArrayList<String>();,ArrayList<Object> list = new ArrayList<String>();,ArrayList<Integer> list = new ArrayList<>();,ArrayList<Number> list = new ArrayList<Integer>();,C,"Due to generic invariance, ArrayList<String> cannot be assigned to ArrayList<Object> even though String is a subtype of Object.",2025-06-20 19:32:28,single
95,Java Basics,Comments,"Which type of comment is used for Javadoc documentation?",// single line comment,/* multi-line comment */,/** Javadoc comment */,# shell-style comment,<!-- HTML comment -->,C,"Javadoc comments start with /** and end with */.",,single
They are used to generate API documentation.",2025-06-20 19:32:28
96,Using Operators and Decision Constructs,Operators,"What is the output of this code? 
```java
int x = 10; 
System.out.println(x++ + ++x);
```",20,21,22,23,Compilation error,C,"x++ uses current value 10 then increments x to 11. ++x increments x to 12 then uses 12.
Result: 10 + 12 = 22.",2025-06-20 19:32:28
97,Creating and Using Arrays,Arrays,"What is the output of this code? 
```java
int[] arr = new int[3]; 
System.out.println(arr[0] + arr[1] + arr[2]);
```",0,1,2,Compilation error,Runtime error,A,Arrays of primitive numeric types are initialized to their default value (0 for int). 0 + 0 + 0 = 0.,2025-06-20 19:32:28
98,Using Operators and Decision Constructs,Operators,"What is the value of x after this code executes? 
```java
int x = 10; 
x += 5; 
x /= 3; 
x %= 2;
```",0,1,2,3,Compilation error,B,"x starts at 10, becomes 15 after +=5, becomes 5 after /=3 (integer division), becomes 1 after %=2.",2025-06-20 19:32:28
99,Working with Inheritance,Interfaces,"Which statement is true about interfaces in Java 8?",Interfaces can have private methods.,Interfaces can have abstract methods default methods and static methods.,Interfaces can have constructors.,Interfaces can extend classes.,Interfaces can implement other interfaces.,B,"Java 8 introduced default and static methods to interfaces, in addition to abstract methods.",,single
Private methods were added in Java 9.",2025-06-20 19:32:28
100,Handling Exceptions,Exception Hierarchy,"Which exception type is a subclass of RuntimeException?",IOException,SQLException,ClassNotFoundException,IllegalArgumentException,InterruptedException,D,"`IllegalArgumentException` is a direct subclass of `RuntimeException` (unchecked).",,single
The others are checked exceptions.",2025-06-20 19:32:28
101,Working with Selected classes from the Java API,StringBuilder Class,"What is the initial capacity of a StringBuilder object created with no arguments?",11,16,17,34,Compilation error,B,"When a StringBuilder is created with no arguments, its initial capacity is 16 characters.",2025-06-20 19:32:28,single
102,Java Basics,Class Structure,"Which of the following is NOT a component of a Java class?",Field,Method,Constructor,Interface,Nested Class,D,"A Java class consists of fields, methods, constructors, and nested classes.",,single
An interface is a separate construct, not a component of a class.",2025-06-20 19:32:28
103,Using Operators and Decision Constructs,Ternary Operator,"What will be printed? 
```java
int x = 1; 
int y = 2; 
int z = x++; 
int a = --y; 
int b = z--; 
b += ++z; 
int answ = x > a? y > b? y : b : x > z? x : z; 
System.out.println(answ);
```",0,1,2,3,-1,C,"After all operations: x=2, y=1, z=1, a=1, b=2.
The ternary expression evaluates to b=2.",2025-06-20 19:32:28
104,Using Loop Constructs,For Loops,"What is the output of this code? 
```java
for (int i = 0; i < 5; i++) { 
  if (i == 2) continue; 
  System.out.print(i); 
}
```",01234,0134,0123,1234,Compilation error,B,"The loop prints 0, 1, skips 2 (due to continue), prints 3, 4.
Output: 0134",2025-06-20 19:32:28
105,Java Basics,Class Structure,"What is the minimum requirement for a Java source file to compile and run successfully?",It must contain a public class with a main method.,It must contain a class with a main method.,It must contain a public static void main(String args) method.,It must contain at least one class definition.,It must have a package declaration.,B,"A Java source file only needs to contain a class with a main method to compile and run.",,single
The class does not necessarily have to be public, nor does it need a package declaration if it's in the default package.",2025-06-20 19:32:28
106,Working with Java Data Types,Variable Declaration and Initialization,"What is the default value for an uninitialized instance variable of type double?",0,0.0,null,undefined,It depends on the JVM.,B,"Instance variables (fields) in Java are automatically initialized to their default values if not explicitly assigned.",,single
For numeric primitive types like double, the default value is 0.0.",2025-06-20 19:32:28
